Date,Confirmed,Death
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,2,0
2020-01-24,5,0
2020-01-25,5,0
2020-01-26,8,0
2020-01-27,8,0
2020-01-28,8,0
2020-01-29,10,0
2020-01-30,12,0
2020-01-31,13,0
2020-02-01,14,0
2020-02-02,15,0
2020-02-03,15,0
2020-02-04,18,1
2020-02-05,21,1
2020-02-06,24,1
2020-02-07,26,1
2020-02-08,26,1
2020-02-09,36,1
2020-02-10,42,1
2020-02-11,49,1
2020-02-12,50,1
2020-02-13,53,1
2020-02-14,56,1
2020-02-15,56,1
2020-02-16,57,1
2020-02-17,60,1
2020-02-18,61,1
2020-02-19,63,2
2020-02-20,67,2
2020-02-21,68,2
2020-02-22,68,2
2020-02-23,74,2
2020-02-24,77,2
2020-02-25,85,2
2020-02-26,91,2
2020-02-27,92,2
2020-02-28,94,2
2020-02-29,94,2
2020-03-01,97,2
2020-03-02,99,2
2020-03-03,100,2
2020-03-04,103,2
2020-03-05,104,2
2020-03-06,106,2
2020-03-07,108,2
2020-03-08,113,3
2020-03-09,115,3
2020-03-10,117,3
2020-03-11,129,3
2020-03-12,130,3
2020-03-13,132,4
2020-03-14,139,4
2020-03-15,147,4
2020-03-16,156,4
2020-03-17,164,4
2020-03-18,184,4
2020-03-19,206,4
2020-03-20,250,4
2020-03-21,273,4
2020-03-22,317,4
2020-03-23,351,4
2020-03-24,382,4
2020-03-25,407,4
2020-03-26,452,4
2020-03-27,494,4
2020-03-28,526,4
2020-03-29,577,4
2020-03-30,623,4
2020-03-31,680,4
2020-04-01,737,4
2020-04-02,784,4
2020-04-03,831,4
2020-04-04,853,4
2020-04-05,882,4
2020-04-06,914,4
2020-04-07,935,4
2020-04-08,960,4
2020-04-09,973,4
2020-04-10,989,4
2020-04-11,1000,4
2020-04-12,1004,4
2020-04-13,1009,4
2020-04-14,1012,4
2020-04-15,1016,4
2020-04-16,1017,4
2020-04-17,1021,4
2020-04-18,1023,4
2020-04-19,1025,4
2020-04-20,1025,4
2020-04-21,1029,4
2020-04-22,1033,4
2020-04-23,1035,4
2020-04-24,1035,4
2020-04-25,1037,4
2020-04-26,1037,4
2020-04-27,1037,4
2020-04-28,1037,4
2020-04-29,1037,4
2020-04-30,1037,4
2020-05-01,1039,4
2020-05-02,1039,4
2020-05-03,1039,4
2020-05-04,1040,4
2020-05-05,1040,4
2020-05-06,1040,4
2020-05-07,1044,4
2020-05-08,1044,4
2020-05-09,1044,4
2020-05-10,1047,4
2020-05-11,1047,4
2020-05-12,1047,4
2020-05-13,1050,4
2020-05-14,1051,4
2020-05-15,1052,4
2020-05-16,1052,4
2020-05-17,1055,4
2020-05-18,1055,4
2020-05-19,1055,4
2020-05-20,1055,4
2020-05-21,1063,4
2020-05-22,1065,4
2020-05-23,1065,4
2020-05-24,1065,4
2020-05-25,1065,4
2020-05-26,1065,4
2020-05-27,1066,4
2020-05-28,1066,4
2020-05-29,1079,4
2020-05-30,1082,4
2020-05-31,1084,4
2020-06-01,1087,4
2020-06-02,1093,4
2020-06-03,1093,4
2020-06-04,1099,4
2020-06-05,1102,4
2020-06-06,1105,4
2020-06-07,1106,4
2020-06-08,1107,4
2020-06-09,1107,4
2020-06-10,1107,4
2020-06-11,1107,4
2020-06-12,1108,4
2020-06-13,1109,4
2020-06-14,1109,4
2020-06-15,1112,4
2020-06-16,1112,4
2020-06-17,1120,4
2020-06-18,1124,4
2020-06-19,1127,4
2020-06-20,1128,4
2020-06-21,1131,5
2020-06-22,1161,5
2020-06-23,1177,6
2020-06-24,1179,6
2020-06-25,1193,7
2020-06-26,1196,7
2020-06-27,1197,7
2020-06-28,1199,7
2020-06-29,1203,7
2020-06-30,1205,7
2020-07-01,1233,7
2020-07-02,1242,7
2020-07-03,1247,7
2020-07-04,1258,7
2020-07-05,1268,7
2020-07-06,1285,7
2020-07-07,1299,7
2020-07-08,1323,7
2020-07-09,1365,7
2020-07-10,1403,7
2020-07-11,1431,7
2020-07-12,1469,7
2020-07-13,1521,7
2020-07-14,1569,8
2020-07-15,1588,8
2020-07-16,1655,10
2020-07-17,1713,10
2020-07-18,1777,12
2020-07-19,1885,12
2020-07-20,1958,12
2020-07-21,2018,14
2020-07-22,2131,14
2020-07-23,2249,15
2020-07-24,2372,16
2020-07-25,2505,18
2020-07-26,2633,18
2020-07-27,2778,22
2020-07-28,2884,22
2020-07-29,3002,24
2020-07-30,3151,24
2020-07-31,3272,27
2020-08-01,3396,31
2020-08-02,3511,34
2020-08-03,3589,37
2020-08-04,3669,41
2020-08-05,3754,43
2020-08-06,3849,44
2020-08-07,3938,46
2020-08-08,4007,47
2020-08-09,4079,51
2020-08-10,4148,54
2020-08-11,4181,58
2020-08-12,4243,63
2020-08-13,4312,65
2020-08-14,4360,66
2020-08-15,4406,68
2020-08-16,4480,69
2020-08-17,4524,69
2020-08-18,4560,70
2020-08-19,4586,72
2020-08-20,4604,73
2020-08-21,4631,75
2020-08-22,4657,76
2020-08-23,4682,77
2020-08-24,4691,77
2020-08-25,4710,77
2020-08-26,4734,78
2020-08-27,4755,79
2020-08-28,4768,84
2020-08-29,4786,86
2020-08-30,4801,88
2020-08-31,4810,89
2020-09-01,4822,90
2020-09-02,4830,93
2020-09-03,4838,94
2020-09-04,4850,94
2020-09-05,4857,94
2020-09-06,4878,95
2020-09-07,4889,98
2020-09-08,4895,99
2020-09-09,4901,99
2020-09-10,4913,99
2020-09-11,4925,99
2020-09-12,4938,100
2020-09-13,4957,100
