,Day,Mask(Chi),Mask(Eng),Immigration(Chi),Health(Chi),Hiking(Chi),China(Eng),China(Chi),HongKong(Chi)
0,20200101,0,1,0,1,1,3,6,51
1,20200102,2,2,1,1,1,5,7,43
2,20200103,2,1,1,1,1,4,6,41
3,20200104,2,1,1,1,1,4,7,45
4,20200105,4,2,1,1,1,4,6,47
5,20200106,7,2,1,1,1,6,7,40
6,20200107,10,3,1,1,1,6,6,40
7,20200108,8,2,1,1,1,6,7,40
8,20200109,5,2,1,1,0,5,6,40
9,20200110,3,2,1,1,0,6,6,37
10,20200111,2,1,1,1,1,3,6,44
11,20200112,2,1,1,1,1,3,5,43
12,20200113,2,2,1,1,0,5,7,39
13,20200114,2,1,1,1,1,5,7,42
14,20200115,1,1,1,1,1,6,6,42
15,20200116,1,1,1,1,1,6,7,39
16,20200117,1,1,1,2,1,5,6,37
17,20200118,1,1,1,1,1,3,5,42
18,20200119,1,1,1,1,1,3,5,42
19,20200120,2,1,1,1,0,6,7,39
20,20200121,8,2,1,1,1,7,6,39
21,20200122,18,5,1,2,0,5,7,43
22,20200123,47,14,1,2,1,7,7,42
23,20200124,51,16,1,2,1,6,7,35
24,20200125,46,14,1,2,1,5,6,43
25,20200126,53,17,2,1,1,6,6,43
26,20200127,61,20,3,2,2,5,6,47
27,20200128,82,26,4,2,1,7,7,47
28,20200129,100,31,4,2,1,7,7,47
29,20200130,92,31,3,2,1,6,7,44
30,20200131,80,26,4,1,2,8,9,42
31,20200201,75,22,5,1,2,6,8,49
32,20200202,68,18,5,1,1,5,7,48
33,20200203,72,20,5,2,1,7,7,46
34,20200204,76,21,4,2,0,7,6,48
35,20200205,75,19,6,2,1,7,8,51
36,20200206,64,19,5,1,1,6,7,46
37,20200207,66,18,4,2,1,5,6,46
38,20200208,66,18,3,1,2,4,7,48
39,20200209,46,15,3,1,2,3,6,45
40,20200210,44,16,3,2,1,6,6,44
41,20200211,42,16,3,2,1,5,7,42
42,20200212,42,14,2,1,2,5,6,49
43,20200213,39,12,3,1,1,5,7,43
44,20200214,47,13,2,1,1,4,6,38
45,20200215,35,11,2,1,1,4,6,44
46,20200216,32,9,2,1,2,3,6,44
47,20200217,31,10,3,1,1,6,7,39
48,20200218,26,8,2,1,2,5,6,40
49,20200219,25,9,2,1,2,5,7,42
50,20200220,25,8,2,2,1,5,6,40
51,20200221,21,7,2,1,3,4,6,38
52,20200222,20,8,2,1,4,3,6,42
53,20200223,20,7,1,1,5,3,5,43
54,20200224,20,8,2,1,2,5,6,42
55,20200225,24,12,2,1,2,5,6,41
56,20200226,17,7,2,1,2,5,6,44
57,20200227,17,7,2,1,1,5,6,38
58,20200228,15,7,2,1,2,6,6,40
59,20200229,16,7,2,1,3,4,5,43
60,20200301,15,6,2,1,3,3,6,46
61,20200302,16,6,2,1,1,5,7,40
62,20200303,18,5,3,1,2,5,6,38
63,20200304,15,5,3,1,1,5,8,43
64,20200305,16,5,5,1,1,5,6,41
65,20200306,14,5,4,1,1,5,6,41
66,20200307,16,5,2,1,3,3,6,44
67,20200308,15,5,2,1,2,3,6,44
68,20200309,15,5,3,1,1,5,7,40
69,20200310,23,9,3,2,2,5,7,41
70,20200311,32,20,3,2,1,5,6,42
71,20200312,28,15,2,1,1,6,7,38
72,20200313,22,9,3,1,2,5,7,40
73,20200314,24,9,2,1,3,4,5,45
74,20200315,20,7,3,1,2,4,5,46
75,20200316,20,10,3,2,2,5,7,40
76,20200317,21,13,3,1,1,6,7,42
77,20200318,19,8,3,2,0,5,7,42
78,20200319,18,8,2,1,1,6,7,40
79,20200320,19,8,2,2,1,6,7,40
80,20200321,23,8,2,1,2,3,6,43
81,20200322,20,7,2,1,2,4,6,46
82,20200323,20,7,3,1,1,6,7,44
83,20200324,16,8,2,1,1,6,7,41
84,20200325,18,7,2,2,1,6,7,39
85,20200326,18,8,2,1,1,5,8,38
86,20200327,18,10,2,1,1,6,7,38
87,20200328,17,7,1,1,1,3,6,38
88,20200329,15,7,1,1,0,4,6,45
89,20200330,15,7,1,1,0,6,8,40
90,20200331,15,7,1,1,0,6,6,36
91,20200401,17,8,1,1,0,6,6,40
92,20200402,16,8,1,2,1,6,7,37
93,20200403,16,8,1,1,1,5,6,39
94,20200404,16,7,1,1,1,3,5,41
95,20200405,16,7,1,1,1,4,6,41
96,20200406,20,9,2,2,0,6,6,38
97,20200407,17,7,1,1,0,5,7,40
98,20200408,15,6,1,2,1,5,7,38
99,20200409,14,6,1,2,2,5,7,39
100,20200410,14,7,1,1,2,4,6,41
101,20200411,12,5,1,1,2,4,6,42
102,20200412,11,5,1,2,3,3,6,45
103,20200413,20,8,1,1,2,5,6,41
104,20200414,14,6,1,2,1,5,7,39
105,20200415,12,9,1,2,1,5,7,38
106,20200416,14,6,1,1,1,5,7,39
107,20200417,17,5,1,2,2,6,8,37
108,20200418,12,6,1,1,3,3,6,41
109,20200419,10,4,1,1,2,4,6,43
110,20200420,10,4,1,1,1,5,6,38
111,20200421,12,4,1,2,1,5,6,37
112,20200422,13,5,1,1,1,5,7,38
113,20200423,9,5,1,1,1,5,7,37
114,20200424,10,5,1,1,1,5,6,35
115,20200425,11,5,1,1,2,4,5,38
116,20200426,10,4,1,2,2,4,6,45
117,20200427,7,4,1,2,2,6,6,38
118,20200428,8,4,2,1,2,5,6,41
119,20200429,8,4,1,1,2,5,6,41
120,20200430,10,4,1,1,3,4,5,40
121,20200501,8,4,1,1,3,4,6,42
122,20200502,7,3,1,1,3,3,5,41
123,20200503,7,3,1,1,2,3,5,44
124,20200504,7,3,2,1,1,6,7,38
125,20200505,15,6,2,1,1,5,7,41
126,20200506,27,11,2,1,1,5,6,42
127,20200507,13,6,1,2,1,5,5,39
128,20200508,12,5,1,1,1,5,5,36
129,20200509,13,4,1,2,1,3,6,43
130,20200510,10,4,1,1,1,3,5,39
131,20200511,10,5,1,1,1,5,6,39
132,20200512,10,5,1,1,0,5,6,38
133,20200513,9,5,1,1,1,5,6,37
134,20200514,10,5,1,2,1,5,7,36
135,20200515,10,4,1,1,1,5,6,39
136,20200516,10,5,1,1,1,3,6,42
137,20200517,9,4,1,2,2,3,6,46
138,20200518,10,4,1,1,1,5,6,41
139,20200519,10,4,1,2,1,5,6,37
140,20200520,8,4,1,1,1,5,6,38
141,20200521,8,3,1,1,0,5,7,39
142,20200522,10,4,1,2,0,6,7,44
143,20200523,7,4,1,2,1,3,5,44
144,20200524,7,3,1,1,1,4,5,48
145,20200525,8,6,1,2,1,5,7,42
146,20200526,7,4,1,1,0,6,6,41
147,20200527,7,4,1,2,0,6,6,41
148,20200528,9,3,1,1,0,6,7,44
149,20200529,11,4,1,1,1,6,7,40
150,20200530,7,3,1,1,0,4,6,46
151,20200531,10,4,1,1,1,5,5,49
152,20200601,8,4,2,2,1,6,7,44
153,20200602,8,4,3,1,1,6,7,44
154,20200603,10,4,2,2,0,6,6,46
155,20200604,8,6,1,2,1,6,6,41
156,20200605,9,5,1,2,0,5,7,40
157,20200606,8,3,1,1,1,3,6,42
158,20200607,8,3,1,1,0,3,6,45
159,20200608,8,4,1,2,0,5,6,42
160,20200609,10,3,1,2,0,5,6,41
161,20200610,7,3,1,2,0,5,6,42
162,20200611,8,3,1,3,1,6,5,38
163,20200612,8,3,1,3,1,5,5,42
164,20200613,8,3,1,2,0,3,6,47
165,20200614,7,3,1,2,1,3,5,44
166,20200615,8,3,1,3,0,5,7,39
167,20200616,7,3,2,3,1,6,6,40
168,20200617,6,3,1,2,0,6,6,40
169,20200618,7,3,1,2,0,6,7,40
170,20200619,7,3,1,2,1,6,6,41
171,20200620,7,3,1,2,1,4,8,47
172,20200621,6,3,1,2,1,5,17,52
173,20200622,7,3,1,2,1,7,9,42
174,20200623,6,2,1,4,0,5,9,41
175,20200624,7,3,2,3,1,5,7,41
176,20200625,8,3,1,2,0,4,6,44
177,20200626,8,3,1,3,1,5,7,43
178,20200627,7,3,2,2,1,3,5,46
179,20200628,6,3,1,3,1,3,5,45
180,20200629,6,3,2,3,1,5,7,44
181,20200630,6,3,2,3,1,5,7,49
